ID,Cycle,value,Date,Region,Site_ID,Latitude,Longitude,Filtration,Atoll,PlateID
CT2286,26,84.22867437,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,4,29.5559045,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,25,86.25316474,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,7,49.55488591,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,9,63.03294829,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,19,79.96743688,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,21,86.43779731,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,8,54.11883527,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,14,71.82897585,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,18,81.45469806,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,10,57.36593589,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,28,81.65134053,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,NA,76.4978361,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,15,77.509162,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,20,82.79459937,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,23,85.09691992,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,29,83.57092238,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,22,82.7687382,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,3,22.16692838,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,6,48.64944049,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,17,77.15510024,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,12,71.39567929,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,11,69.62022807,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,1,9.398162573,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,27,78.20760116,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,30,78.86388941,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,24,83.17684985,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,13,76.83939876,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,16,77.99680821,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,5,39.18114013,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2286,2,10.76490095,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A1
CT2287,19,-52.55622686,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,25,-59.80885277,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,26,-64.45626464,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,1,3.797063464,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,18,-42.67558791,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,9,-0.53497612,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,29,-82.57971449,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,7,3.658852862,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,3,1.840130741,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,4,-0.045502851,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,8,1.272740855,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,27,-68.48479845,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,23,-57.66716617,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,28,-75.09245352,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,30,-83.4526972,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,21,-57.31396527,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,17,-21.38123095,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,11,10.19699498,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,22,-55.63677157,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,12,23.3921671,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,10,-8.351113299,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,14,33.29462571,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,24,-62.85278295,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,15,24.96614484,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,5,10.23093382,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,6,1.954816105,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,16,4.738273029,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,NA,-92.74048148,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,2,2.713613426,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,20,-52.58815202,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2287,13,29.96085859,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A2
CT2288,26,-0.708099148,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,19,4.25507538,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,8,1.124091662,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,4,-7.998138529,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,9,4.63286538,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,3,-14.83437207,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,15,3.981909789,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,30,-7.798870726,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,1,-18.10835608,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,11,7.287497104,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,5,-9.15691085,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,29,-5.786344575,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,18,4.689734921,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,14,6.481559261,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,23,-1.454319298,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,16,2.812555294,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,10,0.949945037,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,7,-2.741674292,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,21,6.725416402,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,13,5.575982201,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,20,0.704388972,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,22,4.830666989,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,12,12.92664393,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,6,-1.254850761,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,2,-12.38952128,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,24,-1.415670539,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,28,0.19675554,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,25,2.11896248,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,NA,-6.97170018,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,27,-4.009779959,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2288,17,6.098976956,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A3
CT2289,4,26.55122945,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A4
CT2289,29,81.93396497,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A4
CT2289,14,74.42593093,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A4
CT2289,23,83.42043565,10/6/2023,RMI,M01,7.069709,171.283418,Active,Majuro,A4
